BENCH;backend;size;block_size;iterations;thread;gpus;time
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;3;7.30128800
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;23;1;13.53578186
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;4;18.05174700
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;22;2;4.35720491
nbody;PARALLEL_BACK_STARPU;81920;2048;5;24;1;16.91941000
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;22;1;13.49864388
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;24;3;10.23977089
nbody;PARALLEL_BACK_STARPU;131072;2048;5;25;1;30.13938000
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;25;2;4.41062021
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;23;4;3.79299903
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;23;1;10.82375717
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;23;4;8.60937786
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;24;2;11.15705585
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;27;1;10.69677258
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;1;7.53738000
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;4;18.20472700
nbody;PARALLEL_BACK_STARPU;65536;2048;5;22;2;7.35377900
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;25;3;10.65596104
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;27;1;10.77869129
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;23;1;13.20920277
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;3;6.51532078
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;4;4.98930788
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;22;2;4.52119493
nbody;PARALLEL_BACK_STARPU;98304;2048;5;23;1;21.66655000
nbody;PARALLEL_BACK_STARPU;114688;2048;5;25;1;26.67553800
nbody;PARALLEL_BACK_STARPU;65536;2048;5;24;1;7.24031600
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;2;7.85934401
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;23;3;8.64102554
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;3;6.66202402
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;4;18.38041500
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;23;1;16.25272560
nbody;PARALLEL_BACK_STARPU;98304;2048;5;24;1;22.68032000
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;25;3;5.85853291
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;22;1;10.76657677
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;22;4;10.27971458
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;23;2;8.00720596
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;25;2;9.46343899
nbody;PARALLEL_BACK_STARPU;81920;2048;5;23;1;17.74880900
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;4;4.96285105
nbody;PARALLEL_BACK_STARPU;81920;2048;5;24;4;9.51722700
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;26;1;12.92322254
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;26;1;15.86442184
nbody;PARALLEL_BACK_STARPU;114688;2048;5;23;3;17.08303000
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;3;25.10775700
nbody;PARALLEL_BACK_STARPU;65536;2048;5;24;2;7.29244900
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;22;2;6.49661922
