BENCH;backend;size;block_size;iterations;thread;gpus;time
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;12;4;7.60653114
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;22;3;7.66169310
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;12;4;6.64230900
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;10;2;21.64099100
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;6;2;23.70717700
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;2;3;20.53959800
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;26;3;12.54625320
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;18;0;23.67730700
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;26;2;31.73247400
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;6;2;8.54088306
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;24;3;10.93404700
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;2;4;14.48394100
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;10;2;8.59436300
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;10;2;8.64924800
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;2;1;14.15185642
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;28;2;16.59115028
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;12;0;55.21912766
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;0;1;59.66713600
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;10;3;16.27880800
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;22;2;8.57706500
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;10;4;12.09092500
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;10;2;8.46523571
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;12;2;8.19070530
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;12;2;21.82639000
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;26;0;21.73156100
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;10;0;64.86790466
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;0;2;8.93303680
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;28;0;18.50188200
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;14;2;8.24995899
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;14;3;7.41616201
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;20;4;6.27437687
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;12;0;55.21762085
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;26;2;13.89704300
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;22;2;9.15843868
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;22;3;11.40578100
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;28;4;22.60773000
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;26;4;11.74865700
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;24;2;9.15528700
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;28;4;22.46054000
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;0;2;30.39820500
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;4;0;160.23284912
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;18;1;13.09058800
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;24;0;18.38343100
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;16;0;32.55377600
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;2;2;9.78331200
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;10;4;6.23164600
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;8;3;7.10569906
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;8;3;7.43244700
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;26;2;40.24640900
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;4;3;7.24421978
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;28;1;35.91886200
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;24;3;17.31937200
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;16;2;20.77073400
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;22;2;8.82284400
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;26;1;10.83842945
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;10;1;32.96748300
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;8;4;12.60188700
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;8;4;6.23780200
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;26;1;13.95077200
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;2;3;7.32352781
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;22;0;18.37355200
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;24;4;11.52029100
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;14;0;47.48471069
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;20;4;6.89492512
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;24;4;11.59240500
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;28;4;15.41362572
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;22;0;18.40818000
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;2;0;319.02630615
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;28;3;22.07352500
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;0;2;29.86227500
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;18;1;11.34044075
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;0;4;14.92797100
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;8;1;13.85822500
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;18;1;11.23104763
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;20;3;12.14902300
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;8;1;12.93031311
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;12;3;7.69360500
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;28;1;22.17966200
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;14;4;7.08979797
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;24;2;8.71859264
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;12;3;7.35085678
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;0;4;6.70796400
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;18;1;11.26269245
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;4;4;6.64965105
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;20;3;9.29664300
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;6;0;86.46131400
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;16;0;23.93668200
